"Time","yolo-server-6b58946cb4-5922k / default / PKG","yolo-server-99847bd7d-pfn7h / default / PKG","yolo-server-6b58946cb4-5922k / default / DRAM","yolo-server-99847bd7d-pfn7h / default / DRAM","yolo-server-6b58946cb4-5922k / default / OTHER","yolo-server-99847bd7d-pfn7h / default / OTHER","yolo-server-6b58946cb4-5922k / default / GPU","yolo-server-99847bd7d-pfn7h / default / GPU"
2024-08-07 21:30:50,,19.6,,0,,0,,0
2024-08-07 21:31:00,,19.6,,0,,0,,0
2024-08-07 21:31:10,,19.8,,0,,0,,0
2024-08-07 21:31:20,,19.8,,0,,0,,0
2024-08-07 21:31:30,,19.8,,0,,0,,0
2024-08-07 21:31:40,,12.6,,0,,0,,0
2024-08-07 21:31:50,,12.6,,0,,0,,0
2024-08-07 21:32:00,,12.6,,0,,0,,0
2024-08-07 21:32:10,,0.0435,,0,,0,,0
2024-08-07 21:32:20,,0.0435,,0,,0,,0
2024-08-07 21:32:30,,0.0435,,0,,0,,0
2024-08-07 21:32:40,,0,,0,,0,,0
2024-08-07 21:32:50,,0,,0,,0,,0
2024-08-07 21:33:00,,0,,0,,0,,0
2024-08-07 21:33:10,,0.0861,,0,,0,,0
2024-08-07 21:33:20,,0.0861,,0,,0,,0
2024-08-07 21:33:30,,0.0861,,0,,0,,0
2024-08-07 21:33:40,,0,,0,,0,,0
2024-08-07 21:33:50,,0,,0,,0,,0
2024-08-07 21:34:00,,0,,0,,0,,0
2024-08-07 21:34:10,,0.0536,,0,,0,,0
2024-08-07 21:34:20,,0.0536,,0,,0,,0
2024-08-07 21:34:30,,0.0536,,0,,0,,0
2024-08-07 21:34:40,,7.16,,0,,0,,0
2024-08-07 21:34:50,,7.16,,0,,0,,0
2024-08-07 21:35:00,,7.16,,0,,0,,0
2024-08-07 21:35:10,,22.4,,0,,0,,0
2024-08-07 21:35:20,,22.4,,0,,0,,0
2024-08-07 21:35:30,,22.4,,0,,0,,0
2024-08-07 21:35:40,,22.3,,0,,0,,0
2024-08-07 21:35:50,,22.3,,0,,0,,0
2024-08-07 21:36:00,,22.3,,0,,0,,0
2024-08-07 21:36:10,,23.2,,0,,0,,0
2024-08-07 21:36:20,,23.2,,0,,0,,0
2024-08-07 21:36:30,,23.2,,0,,0,,0
2024-08-07 21:36:40,,22.3,,0,,0,,0
2024-08-07 21:36:50,,22.3,,0,,0,,0
2024-08-07 21:37:00,,22.3,,0,,0,,0
2024-08-07 21:37:10,,22.7,,0,,0,,0
2024-08-07 21:37:20,,22.7,,0,,0,,0
2024-08-07 21:37:30,,22.7,,0,,0,,0
2024-08-07 21:37:40,,23.1,,0,,0,,0
2024-08-07 21:37:50,,23.1,,0,,0,,0
2024-08-07 21:38:00,,23.1,,0,,0,,0
2024-08-07 21:38:10,,22.8,,0,,0,,0
2024-08-07 21:38:20,,22.8,,0,,0,,0
2024-08-07 21:38:30,,22.8,,0,,0,,0
2024-08-07 21:38:40,,23.5,,0,,0,,0
2024-08-07 21:38:50,,23.5,,0,,0,,0
2024-08-07 21:39:00,,23.5,,0,,0,,0
2024-08-07 21:39:10,,23.0,,0,,0,,0
2024-08-07 21:39:20,,23.0,,0,,0,,0
2024-08-07 21:39:30,,23.0,,0,,0,,0
2024-08-07 21:39:40,,24.0,,0,,0,,0
2024-08-07 21:39:50,,24.0,,0,,0,,0
2024-08-07 21:40:00,,24.0,,0,,0,,0
2024-08-07 21:40:10,,25.0,,0,,0,,0
2024-08-07 21:40:20,,25.0,,0,,0,,0
2024-08-07 21:40:30,,25.0,,0,,0,,0
2024-08-07 21:40:40,,24.2,,0,,0,,0
2024-08-07 21:40:50,,24.2,,0,,0,,0
2024-08-07 21:41:00,,24.2,,0,,0,,0
2024-08-07 21:41:10,,24.4,,0,,0,,0
2024-08-07 21:41:20,,24.4,,0,,0,,0
2024-08-07 21:41:30,,24.4,,0,,0,,0
2024-08-07 21:41:40,,23.4,,0,,0,,0
2024-08-07 21:41:50,,23.4,,0,,0,,0
2024-08-07 21:42:00,,23.4,,0,,0,,0
2024-08-07 21:42:10,,24.0,,0,,0,,0
2024-08-07 21:42:20,,24.0,,0,,0,,0
2024-08-07 21:42:30,,24.0,,0,,0,,0
2024-08-07 21:42:40,,23.7,,0,,0,,0
2024-08-07 21:42:50,,23.7,,0,,0,,0
2024-08-07 21:43:00,,23.7,,0,,0,,0
2024-08-07 21:43:10,,24.3,,0,,0,,0
2024-08-07 21:43:20,,24.3,,0,,0,,0
2024-08-07 21:43:30,,24.3,,0,,0,,0
2024-08-07 21:43:40,,24.7,,0,,0,,0
2024-08-07 21:43:50,,24.7,,0,,0,,0
2024-08-07 21:44:00,,24.7,,0,,0,,0
2024-08-07 21:44:10,,24.0,,0,,0,,0
2024-08-07 21:44:20,,24.0,,0,,0,,0
2024-08-07 21:44:30,,24.0,,0,,0,,0
2024-08-07 21:44:40,,17.1,,0,,0,,0
2024-08-07 21:44:50,,17.1,,0,,0,,0
2024-08-07 21:45:00,,17.1,,0,,0,,0
2024-08-07 21:45:10,,0.211,,0,,0,,0
2024-08-07 21:45:20,,0.211,,0,,0,,0
2024-08-07 21:45:30,,0.211,,0,,0,,0
2024-08-07 21:45:40,,0.207,,0,,0,,0
2024-08-07 21:45:50,,0.207,,0,,0,,0
2024-08-07 21:46:00,,0.207,,0,,0,,0
2024-08-07 21:46:10,,0.196,,0,,0,,0
2024-08-07 21:46:20,,0.196,,0,,0,,0
2024-08-07 21:46:30,,0.196,,0,,0,,0
2024-08-07 21:46:40,,0.195,,0,,0,,0
2024-08-07 21:46:50,,0.195,,0,,0,,0
2024-08-07 21:47:00,,0.195,,0,,0,,0
2024-08-07 21:47:10,,0.205,,0,,0,,0
